"22 ","Let the Music Play ","3:34 ","Music ","Barry White ",
"23 ","Love's Theme ","4:13 ","Music ","",
"24 ","Never, Never Gonna Give You Up ","4:09 ","Music ","Barry White ",
"25 ","What Am I Gonna Do With You ","3:38 ","Music ","Barry White ",
"26 ","You're the First, the Last, My Everything ","3:28 ","Music ","Barry White ",
"27 ","Camilla-English ","3:16 ","Music ","",
"28 ","Please Don't Go ","2:57 ","Music ","Basshunter ",
"29 ","Barbara Ann ","2:20 ","Music ","",
"30 ","California Girls ","2:47 ","Music ","Beach Boys ",
"31 ","Good Vibrations ","4:23 ","Music ","Beach Boys ",
"32 ","Help Me, Rhonda ","2:46 ","Music ","The Beach Boys ",
"33 ","Kokomo ","3:34 ","Music ","Beach Boys ",
"34 ","Wouldn't It Be Nice ","2:32 ","Music ","Beach Boys ",
"35 ","The Ballad of John and Yoko ","3:00 ","Music ","Beatles ",
"36 ","Hello, Goodbye ","3:39 ","Music ","Beatles ",
"37 ","Komm,Gib Mir Deine Hand ","2:26 ","Music ","Beatles ",
"38 ","Ob-La-Di, Ob-La-Da ","3:11 ","Music ","Beatles ",
"39 ","Penny Lane ","3:02 ","Music ","Beatles ",
"40 ","Bee Gees - More Than A Woman (With Lyrics) ","3:18 ","Music ","Bee Gees ",
"41 ","Night Fever ","3:34 ","Music ","Bee Gees ",
"42 ","You Should Be Dancing ","4:18 ","Music ","",
"43 ","lonely chick ","3:40 ","Music ","benee ",
"44 ","Take My Breath Away ","4:14 ","Music ","",
"45 ","Halo ","4:19 ","Music ","Beyoncé ",
"46 ","Single Ladies (Put a Ring On It) ","3:18 ","Music ","Beyoncé ",
"47 ","Sweet Dreams ","3:24 ","Music ","Beyoncé ",
"48 ","hot in the city ","5:10 ","Music ","Bille Idol ",
"49 ","dancing with myself ","3:22 ","Music ","",
"51 ","dancing with myself ","3:22 ","Music ","Billy Idol ",
