"1 ","Look of Love, Pt. 1 ","3:29 ","Music ","ABC ",
"4 ","Back in Black ","4:15 ","Music ","",
"3 ","Hells Bells ","5:12 ","Music ","",
"2 ","Thunderstruck ","4:52 ","Music ","AC/DC ",
"5 ","You Shook Me All Night Long ","3:30 ","Music ","",
"6 ","Goody two shoes ","3:21 ","Music ","",
"7 ","Set Fire to the Rain ","3:59 ","Music ","",
"8 ","into you ","4:14 ","Music ","Adriana Grande ",
"9 ","Angel ","5:08 ","Music ","",
"10 ","Cryin' ","5:11 ","Music ","Aerosmith ",
"11 ","Alesso ","4:53 ","Music ","",
"12 ","Empire State of Mind ","4:09 ","Music ","Alicia Keys ",
"13 ","Girl On Fire ","3:52 ","Music ","Alicia Keys ",
"14 ","More More More ","3:01 ","Music ","Andrea True ",
"15 ","Mmm Yeah ","4:04 ","Music ","Austin Mahone ",
"16 ","Wake Me Up ","4:11 ","Music ","Avicii ",
"17 ","Da zero a cento ","3:43 ","Music ","Baby K ",
"18 ","tarzan boy ","3:39 ","Music ","",
"19 ","Cruel Summer ","3:29 ","Music ","Bananarama ",
"20 ","Venus ","3:54 ","Music ","Bananarama ",
