"","AC/DC ","Back in Black ",
"","AC/DC ","Back in Black ",
"","","ACDC ",
"","AC/DC ","Back in Black ",
"","Adam Ant ","Adam Ant ",
"","Adele ","Adele ",
"","","into you ",
"","Aerosmith ","Big Ones ",
"","","Get A Grip ",
"","Alesso ","Alesso ",
"","","Alicia Keys ",
"","","Karma, ",
"","Connection ","Andrea True Connectic ",
"","ft. Pitbull ","Austin Mahone ft. Pitbu ",
"","","Wake Me Up ",
"","","Baby K ",
"","Baltimora ","Baltimora ",
"","","The Greatest Hits Coll. ",
"","","venus ",
"","Barry White ","All-Time Greatest Hits ",
