0,1,2,3,4,5,6,7,8,9
1,"Look of Love, Pt. 1 ",3:29 ,Music ,ABC ,,,AC/DC ,Back in Black ,
4,Back in Black ,4:15 ,Music ,,,,AC/DC ,Back in Black ,
3,Hells Bells ,5:12 ,Music ,,,,,ACDC ,
2,Thunderstruck ,4:52 ,Music ,AC/DC ,,,AC/DC ,Back in Black ,
5,You Shook Me All Night Long ,3:30 ,Music ,,,,Adam Ant ,Adam Ant ,
6,Goody two shoes ,3:21 ,Music ,,,,Adele ,Adele ,
7,Set Fire to the Rain ,3:59 ,Music ,,,,,into you ,
8,into you ,4:14 ,Music ,Adriana Grande ,,,Aerosmith ,Big Ones ,
9,Angel ,5:08 ,Music ,,,,,Get A Grip ,
10,Cryin' ,5:11 ,Music ,Aerosmith ,,,Alesso ,Alesso ,
11,Alesso ,4:53 ,Music ,,,,,Alicia Keys ,
12,Empire State of Mind ,4:09 ,Music ,Alicia Keys ,,,,"Karma, ",
13,Girl On Fire ,3:52 ,Music ,Alicia Keys ,,,Connection ,Andrea True Connectic ,
14,More More More ,3:01 ,Music ,Andrea True ,,,ft. Pitbull ,Austin Mahone ft. Pitbu ,
15,Mmm Yeah ,4:04 ,Music ,Austin Mahone ,,,,Wake Me Up ,
16,Wake Me Up ,4:11 ,Music ,Avicii ,,,,Baby K ,
17,Da zero a cento ,3:43 ,Music ,Baby K ,,,Baltimora ,Baltimora ,
18,tarzan boy ,3:39 ,Music ,,,,,The Greatest Hits Coll. ,
19,Cruel Summer ,3:29 ,Music ,Bananarama ,,,,venus ,
20,Venus ,3:54 ,Music ,Bananarama ,,,Barry White ,All-Time Greatest Hits ,
